Name,Price,Rating
"Total by Verizon Samsung Galaxy A13 5G, 64GB, Black - Prepaid Smartphone (Locked)",$79.88,125
"Simple Mobile Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",$49.88,190
-,-,-
-,-,-
-,-,-
Nokia XR20 5G | Android 11 | Unlocked Smartphone | Dual SIM | 6/128GB | 6.67-Inch Screen | 48MP Dual Camera | Charcoal,$348.33,24
"Nokia XR20 5G | Android 11 | Unlocked Smartphone | Dual SIM | US Version | 6/128GB | 6.67-Inch Screen | 48MP Dual Camera | Polar Night,Blue",$349.99,174
-,-,-
"TracFone Motorola Moto g Stylus (2022), 128GB, Blue - Prepaid Smartphone (Locked)",$149.99,46
Google Pixel Fold - Unlocked Android 5G Smartphone - Obsidian - 512 GB with Pixel Buds Pro - Noise Canceling Earbuds with Charging Case - Compatible with Wireless Charging - Charcoal,2 sizes,14
"Simple Mobile Samsung Galaxy A13 5G, 64GB, Black - Prepaid Smartphone (Locked)",$99.99,14
"Simple Mobile Samsung Galaxy A23 5G, 64GB, Black - Prepaid Smartphone (Locked)",$160.01,8
"Sony Xperia PRO-I all carriers 5G smartphone with 1-inch image sensor, triple camera array and 120Hz 6.5\xe2\x80\x9d 21:9 4K HDR OLED Display - XQBE62/B",$998.00,81
"Sony Xperia 5 III 125GB 5G Factory Unlocked Smartphone, Black [U.S. Official w/Warranty]",$598.00,94
Moto G Stylus 5G | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 6/256GB | 48MP Camera | Cosmic Emerald,$399.99,"2,375"
