Name,Price,Rating
Google Pixel 8 Pro - Unlocked Android Smartphone - Obsidian - 256 GB with Pixel Watch 2 - Matte Black Aluminum Case - Obsidian Active Band - Wi-Fi,-,-
Google Pixel 8 - Unlocked Android Smartphone - Hazel - 128 GB with Pixel Buds Pro - Porcelain,-,-
Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald,$137.84,"1,295"
Motorola Moto G Stylus | 2022 | 2-Day Battery | Unlocked | Made for US 4/128GB | 50MP Camera | Twilight Blue,$126.99,75
"SAMSUNG Galaxy A14 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 64GB w/Expandable Storage, Long Battery Life, 13MP Camera, 6.6"" Infinite Display Screen, US Version, 2023, Black",$199.99,507
"SAMSUNG Galaxy A54 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB w/ 6.4\xe2\x80\x9d Fluid Display Screen, Hi Res Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Black",$329.99,505
"SAMSUNG Galaxy S23 Cell Phone, Factory Unlocked Android Smartphone, 256GB, 50MP Camera, Night Mode, Long Battery Life, Adaptive Display, US Version, 2023, Green",$709.99,131
Nokia G10 | Android 11 | Unlocked Smartphone | 3-Day Battery | 3/64GB | 6.52-Inch Screen | 13MP Triple Camera | Dusk,$99.99,3
Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Charcoal,-,-
Motorola Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue,$178.89,"1,989"
Nokia C21 Plus | Android 11 (Go Edition) | Unlocked Smartphone | 2-Day Battery | Dual SIM | 2/64GB | 6.52-Inch Screen | Cyan,$99.00,20
"SAMSUNG Galaxy S22 Cell Phone, Factory Unlocked Android Smartphone, 256GB, 8K Camera & Video, Night Mode, Brightest Display Screen, 50MP Photo Resolution, Long Battery Life, US Version, Phantom White",$599.00,157
"Total by Verizon Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",$44.99,464
"Total by Verizon TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked)",$39.88,256
Motorola Moto G Pure | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Deep Indigo,$109.99,"1,162"
"Sony Xperia 1 V 256GB 5G Factory Unlocked Smartphone [U.S. Official w/Warranty],Black","$1,198.00",48
"SIMPLE Mobile Motorola Moto g PURE, 32GB, Blue - Prepaid Smartphone (Locked)",$39.99,186
Motorola Edge | 2021 | 2-Day battery | Unlocked | Made for US | 8/256GB | 108MP Camera | Nebula Blue,$349.99,"1,586"
"Tracfone Samsung Galaxy A13 5G, 64GB, Black - Prepaid Smartphone (Locked)",$89.88,707
Nokia G10 | Android 11 | Unlocked Smartphone | 3-Day Battery | Dual SIM | US Version | 3/32GB | 6.52-Inch Screen | 13MP Triple Camera | Dusk,-,-
Motorola Moto G32 Dual-Sim 128GB ROM + 4GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Mineral Grey) - International Version,-,-
"Total by Verizon Motorola Moto g Stylus (2022), 128GB, Blue - Prepaid Smartphone (Locked)",$102.95,33
"Simple Mobile Samsung Galaxy A14 5G, 64GB, Black - Prepaid Smartphone (Locked)",$99.88,1
"Dpofirs i13Pro Max 4G Smartphone for Android, 6.1 Inch IPS HD Screen Mobile Phone, 4GB+64GB Dual SIM Unlocked Cellphone, 5G Dual Band WiFi, 32MP+8MP Camera, Face ID, Fingerprint,4000mAh",-,-
"SAMSUNG Galaxy Z Fold 4 Cell Phone, Factory Unlocked Android Smartphone, 512GB, Flex Mode, Hands Free Video, Multi Window View, Foldable Display, S Pen Compatible, US Version, 2022, Gray Green",-,-
"TracFone Samsung Galaxy A54 5G, 128GB, Black \xe2\x80\x93 Prepaid Smartphone (Locked)",$299.99,2
"Unlocked Phones, Blackview A53 Unlocked Cell Phone(2023 New), 7GB RAM+32GB ROM/1TB Expand Android Phone, Android 12 Smartphone, 5080mAh Battery 10W Fast Charge, 6.5""HD+Display,3 Card Slots,Face Unlock",$99.30,330
"TracFone Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked) & Simple Mobile Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",-,-
"Unihertz Jelly Pro 3GB+32GB, The Smallest 4G Smartphone in The World, Android 8.1 Oreo Unlocked Smart Phone, Black (NO Charger, Supports only T-Mobile)",-,-
"TracFone Samsung Galaxy A42 5G, 128GB, Black - Prepaid Smartphone (Locked)",$224.29,87
CAT PHONES S61 unlocked Rugged Waterproof 64GB Smartphone with integrated FLIR camera,$757.62,411
RCA Reno Max | 6.5\xe2\x80\x9d HD+ Brightness Boost Display | 64GB + 4GB RAM | 4G LTE Unlocked Smartphone | Android 12 | Octa Core Processor | 16MP Triple Camera | 4000 mAh Battery | Black | T-Mobile,-,-
"OnePlus 9 Pro Morning Mist, 5G Unlocked Android Smartphone U.S Version,12GB RAM+256GB Storage,120Hz Fluid Display,Hasselblad Quad Camera,65W Ultra Fast Charge,50W Wireless Charge,with Alexa Built-in",2 sizes,539
"Sony Xperia 1 IV 512GB Factory Unlocked Smartphone [U.S. Official w/Warranty], Violet",-,-
"Tracfone Samsung Galaxy A23 5G, 64GB, Black - Prepaid Smartphone (Locked)",$169.99,9
"TracFone Motorola Moto g Stylus (2022), 128GB, Blue - Prepaid Smartphone (Locked)",$149.99,46
"SIMPLE Mobile Motorola Moto g 5G, 64GB, Black - Prepaid Smartphone (Locked)",$77.44,1
"4.66in Mini Smartphone 3G Unlocked Mobile Phone, Portable HD Mobile Phone For11 OS, 4.66inch LCD Touch Screen, 5MP Front 8MP Rear HD Camera, Dual SIM Card, 1GB 8GB,MTK6889 Multicore CPU,WIFI(Blue)",-,-
"Mini Smartphone iLight 11 Pro The World\'s Smallest Android Mobile Phone, Super Small Micro 2.5in Touch Screen Global Unlocked Great for Kids 1GB RAM / 8GB ROM Tiny iPhone XI Pro Look Alike",-,-
Nokia G42 Dual-SIM 128GB ROM + 6GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (So Grey) - International Version,$288.81,43
Motorola Moto G52 Dual-SIM 128GB ROM + 4GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Charcoal Gray) - International Version,$318.50,37
"Simple Mobile Samsung Galaxy A53 5G, 128GB, Black - Prepaid Smartphone (Locked)",$207.39,28
"CAT S62 T-Mobile - 4G Rugged Smartphone (IP68, MIL SPEC 810H, Super Bright 5.7"" FHD+ Display, 4000mAh Battery, 4GB RAM / 128 GB ROM) - Black",-,-
"Simple Mobile Samsung Galaxy A23 5G, 64GB, Black - Prepaid Smartphone (Locked)",$160.01,8
Nokia XR21 5G (Pine Green) 128GB + 6GB RAM GSM Unlocked Android Rugged Smart Phone - International Version,-,-
Logitech 915-000194 - Harmony Smart Remote Control with Smartphone App - Black (Renewed),-,-
"DOOGEE S99 (2023) Rugged Smartphone, 15GB+128GB Rugged Phone Unlocked, 108MP Triple Camera, 64MP Night Vision, 6.3"" FHD+ IP68 Waterproof Phones, Dual 4G Rugged Cell Phone, 6000mAh Battery, NFC, OTG",-,-
"Xiaomi Poco X5 PRO 5G + 4G Volte Global Unlocked 256GB + 8GB GSM 6.67"" 108 mp Triple Camera (ONLY Tmobile Mint Tello USA Market) + (Car Fast Car 51W Charger Bundle) (Black)",-,-
"BLU Advance L5 A390L 4"" GSM Unlocked 16GB Dual Sim 5MP Android Smartphone (Lime)",-,-
"Fairphone 5 5G (GSM Unlocked, International Version) 256GB + 8GB RAM - Dual SIM (Nano-SIM + eSIM) Android 13 Smartphone (Transparent Edition)",-,-
"REDMAGIC 8S Pro Smartphone 5G, 120Hz Gaming Phone, 6.8"" Full Screen, Under Display Camera, 6000mAh Android Phone, Snapdragon 8 Gen 2, 12+256GB, 65W Charger, Dual-Sim, US Unlocked Cell Phone Black",-,-
Samsung Galaxy A42 5G 128GB Prism Dot Black for Verizon (Renewed),$129.00,302
"C23 4G/5G Smartphone Unlocked, 6GB+256GB Android13 Phone Octa Core, 6.6"" FHD+ Display 64 MP Camera 5800mAh Dual SIM Cell Phones GPS/Fingerprint Unlock/Face ID",-,-
"Simple Mobile Samsung Galaxy A13 5G, 64GB, Black - Prepaid Smartphone (Locked)",$99.99,14
"Tank 2 Rugged Smartphone, 22GB+256GB Unlocked Rugged Phone with Projector, 6.79"" 4G Waterproof Rugged Cell Phone with Camping Light, 15500mAh 64MP Night Vision Android 13 Phone Unlocked, OTG/NFC",-,-
"TracFone Samsung Galaxy A53 5G, 128GB, Black - Prepaid Smartphone (Locked)",-,-
"Simple Mobile TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked)",$39.99,14
"Sony Xperia 1 V 256GB 5G Factory Unlocked Smartphone [U.S. Official w/Warranty],Black","$1,198.00",48
SAMSUNG Galaxy A71 5G Unlocked 128GB (Renewed) (Prism Bricks Black),-,-
Motorola Edge 40 Neo Dual-SIM 256GB ROM + 12GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (Black Beauty) - International Version,-,-
"TracFone BLU View 3, 32GB, Blue - Prepaid Smartphone (Locked), Black",$69.00,131
BLU G91S | 4-Day Battery | Unlocked | 6.8\xe2\x80\x9d Full HD+ Display | 128GB | 48MP Triple Camera | US Version | US Warranty | Cyan,-,-
"Google Pixel 32GB Factory Unlocked US Version Smartphone, 5 Inch Display (Quite Black)",-,-
Nokia Lumia 520 Unlocked GSM Dual-Core Windows 8 Smartphone 8GB - Red,-,-
Nokia G22 101S0609H001 Dual-Sim 64GB ROM + 4GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Meteor Grey) - International Version,-,-
"ASHATA 2.5 Inch Mini Smart Phone, D18 Mini Mobile Phone, 3G Mini for Smartphone 2.5 Inch WiFi 1GB 8GB Quad Core Phone Thin Small Portable Backup Mobile Phone (Light Blue Grey)",-,-
"Nokia G400 5G | Verizon, AT&T, T-Mobile | Android 12 | Unlocked Smartphone | 3-Day Battery | US Version | 4/64GB | 6.58-Inch Screen | 48MP Triple Camera | Meteor Grey",-,-
realme C35 Dual-Sim 128GB ROM + 4GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Glowing Black) - International Version,-,-
"Verizon Wireless - Motorola Moto E (2020) 32GB 6.2"" Max Vision Display - Prepaid Smartphone",-,-
Nokia X30 5G Dual-Sim 256GB ROM + 8GB RAM (GSM only | No CDMA) Factory Unlocked 5G Smartphone (Cloudy Blue) - International Version,-,-
"Simple Mobile Nokia C200, 32GB, Grey - Prepaid Smartphone (Locked)",$45.70,6
"SAMSUNG Galaxy Z Flip 4 Cell Phone, Factory Unlocked Android Smartphone, 128GB, Flex Mode, Hands Free Camera, Compact, Foldable Design, Informative Cover Screen, US Version, 2022, Pink Gold",$899.99,30
"Sony Xperia X Performance Unlocked smartphone, 32GB Black",-,-
Simple Mobile Nokia C200 4G LTE Prepaid Smartphone (Locked) - 32GB - Black - Sim Card Included - GSM,$69.88,6
"Motorola Edge+ | 2023 | Unlocked | Made for US 8/512 | 50 MPCamera | Intersteller Black, 161.16x74x8.59",$649.99,101
BLU S91 Pro | 2022 | 3-Day Battery | Unlocked | 6.5\xe2\x80\x9d Full HD+ Display | 128/4GB | Triple 50MP Camera | US Version | US Warranty | (Green),-,-
NUU B10 4G LTE Unlocked Android Smartphone | 6.55\xe2\x80\x9d HD+ Display | 48MP Triple-Camera | 64GB + 4GB RAM | 4000mAh Battery | Android 11 | Compatible with T-Mobile (White),-,-
"Total by Verizon Motorola Moto G 5G, 64GB, Black - Prepaid Smartphone (Locked)",$99.88,18
Google - Pixel 3 with 128GB Memory Cell Phone (Unlocked) - Clearly White,-,-
Motorola Moto E32 Dual-SIM 64GB ROM + 4GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Slate Grey) - International Version,-,-
"Motorola moto e\xe2\x81\xb4 XT1765 16GB Smartphone 8MP 5.0"" HD Android 7.1 Nougat (Fine Gold) T-Mobile",-,-
Motorola Moto e20 Dual-SIM 32GB ROM + 2GB RAM (GSM Only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Coastal Blue) - International Version,-,-
PRIV by BlackBerry Factory Unlocked Smartphone - Black (U.S. Warranty),-,-
"SAMSUNG Galaxy Z Flip 3 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, Flex Mode, Super Steady Camera, Ultra Compact, US Version, Phantom Black",-,-
"Sony Xperia X Performance Unlocked smartphone, 32GB Black",-,-
"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39",$189.98,61
"Total by Verizon Motorola Moto g Pure, 32GB, Blue - Prepaid Smartphone (Locked)",$49.99,-
"Sony Xperia 1 with Alexa Hands-Free - Unlocked Smartphone - 128GB - Black - (US Warranty) in 6.5"" 4K HDR OLED Display",-,-
"Simple Mobile Nokia C200, 32GB, Grey - Prepaid Smartphone (Locked)",$45.70,6
"Tracfone Alcatel TCL A3X, 32GB, Prime Black - Prepaid Smartphone (Locked)",$75.19,176
