Name,Price,Rating
Google Pixel 8 Pro - Unlocked Android Smartphone - Obsidian - 256 GB with Pixel Watch 2 - Matte Black Aluminum Case - Obsidian Active Band - Wi-Fi,3 sizes,-
Google Pixel 8 - Unlocked Android Smartphone - Hazel - 128 GB with Pixel Buds Pro - Porcelain,2 sizes,-
Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald,$137.84,"1,295"
Motorola Moto G Stylus | 2022 | 2-Day Battery | Unlocked | Made for US 4/128GB | 50MP Camera | Twilight Blue,$126.99,75
"SAMSUNG Galaxy A14 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 64GB w/Expandable Storage, Long Battery Life, 13MP Camera, 6.6"" Infinite Display Screen, US Version, 2023, Black",$199.99,507
"SAMSUNG Galaxy A54 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB w/ 6.4\xe2\x80\x9d Fluid Display Screen, Hi Res Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Black",$329.99,505
"SAMSUNG Galaxy S23 Cell Phone, Factory Unlocked Android Smartphone, 256GB, 50MP Camera, Night Mode, Long Battery Life, Adaptive Display, US Version, 2023, Green",$709.99,131
Nokia G10 | Android 11 | Unlocked Smartphone | 3-Day Battery | 3/64GB | 6.52-Inch Screen | 13MP Triple Camera | Dusk,$99.99,3
Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Charcoal,-,-
Motorola Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue,$177.18,"1,989"
"SAMSUNG Galaxy S22 Cell Phone, Factory Unlocked Android Smartphone, 256GB, 8K Camera & Video, Night Mode, Brightest Display Screen, 50MP Photo Resolution, Long Battery Life, US Version, Phantom White",$599.00,157
"Total by Verizon Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",$44.99,464
"Total by Verizon TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked)",$39.88,256
Motorola Moto G Pure | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Deep Indigo,$109.99,"1,162"
"SAMSUNG Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5\xe2\x80\x9d FHD Super AMOLED Screen, Long Battery Life, US Version, Black",$299.99,"4,113"
"SIMPLE Mobile Motorola Moto g PURE, 32GB, Blue - Prepaid Smartphone (Locked)",$39.99,186
"Simple Mobile Motorola Moto g Power, 64GB, Black - Prepaid Smartphone (Locked)",$69.99,32
"Unihertz Jelly Pro 3GB+32GB, The Smallest 4G Smartphone in The World, Android 8.1 Oreo Unlocked Smart Phone, Black (NO Charger, Supports only T-Mobile)",-,-
"Total by Verizon Motorola moto g Power (2021), 64GB, Black - Prepaid Smartphone (Locked)",$68.94,67
"TracFone Samsung Galaxy A54 5G, 128GB, Black \xe2\x80\x93 Prepaid Smartphone (Locked)",$299.99,2
"Tracfone Motorola moto g Stylus (2020), 128GB, Gray - Prepaid Smartphone (Locked)",$80.45,636
"Sony Xperia 5 III 125GB 5G Factory Unlocked Smartphone, Black [U.S. Official w/Warranty]",$598.00,95
"Sony Xperia PRO-I all carriers 5G smartphone with 1-inch image sensor, triple camera array and 120Hz 6.5\xe2\x80\x9d 21:9 4K HDR OLED Display - XQBE62/B",$998.00,81
Cat S62 Pro Rugged unlocked 6GB Smartphone \xe2\x80\x93 North America Variant \xe2\x80\x93 with FLIR Thermal Imager \xe2\x80\x93 Full Warranty Support in US and Canada,$542.30,323
"TracFone Motorola Moto g Play, 32GB, Black - Prepaid Smartphone (Locked)",$54.99,-
"Total by Verizon Samsung Galaxy A13 5G, 64GB, Black - Prepaid Smartphone (Locked)",$79.88,126
Google Pixel Fold - Unlocked Android 5G Smartphone - Obsidian - 512 GB with Pixel Buds Pro - Noise Canceling Earbuds with Charging Case - Compatible with Wireless Charging - Charcoal,2 sizes,14
"Simple Mobile BLU View 3, 32GB, Blue - Prepaid Smartphone (Locked)",$59.99,8
Motorola Moto G32 Dual-Sim 128GB ROM + 4GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Mineral Grey) - International Version,-,-
"Total by Verizon Nokia C200, 32GB, Grey - Prepaid Smartphone (Locked)",$59.88,5
"LG G5, Silver 32GB (Verizon Wireless)",-,-
NUU B10 4G LTE Unlocked Android Smartphone | 6.55\xe2\x80\x9d HD+ Display | 48MP Triple-Camera | 64GB + 4GB RAM | 4000mAh Battery | Android 11 | Compatible with T-Mobile (White),-,-
"CAT S62 T-Mobile - 4G Rugged Smartphone (IP68, MIL SPEC 810H, Super Bright 5.7"" FHD+ Display, 4000mAh Battery, 4GB RAM / 128 GB ROM) - Black",-,-
RCA Reno Max | 6.5\xe2\x80\x9d HD+ Brightness Boost Display | 64GB + 4GB RAM | 4G LTE Unlocked Smartphone | Android 12 | Octa Core Processor | 16MP Triple Camera | 4000 mAh Battery | Black | T-Mobile,-,-
"Motorola Moto g Pure, 32GB, Blue - Prepaid Smartphone (Locked)",$39.99,198
"Simple Mobile Samsung Galaxy A53 5G, 128GB, Black - Prepaid Smartphone (Locked)",$207.39,28
"NUU A10L | Unlocked 4G LTE Smartphone | 5.5"" Display | 16GB + 2GB RAM | 2500 mAh Battery | Android 12 Go Edition | Compatible with T-Mobile AT&T",-,-
"FOSA I14proMax Smartphone, for Android11, Unlocked Cell Phone, with 6.1in HD Large Screen, Mobile Phone, 4GB RAM+32GB ROM, MTK6889, 8MP+16MP, 1440x3200, 6800mAh, Gold",-,-
BLU S91 S0690WW 128GB Dual SIM GSM Unlocked Android Smartphone - Green,-,-
Moto G stylus | 2020 | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | Indigo,$299.99,"6,637"
Motorola Moto G82 Dual SIM 128GB ROM + 6GB RAM (GSM only | No CDMA) Factory Unlocked 5G Smartphone (White Lily) - International Version,$240.68,9
RAM 10 Unlocked 4G Volte 2022 Rugged Phone ATT Tmobile Consumer Cellular - Blk/Orange,$86.44,25
"Total by Verizon Nokia G100, 32GB, Blue - Prepaid Smartphone (Locked)",$75.89,1
Motorola Moto E13 Dual SIM 64GB ROM + 2GB RAM Factory Unlocked 4G Smartphone (Cosmic Black) - International Version,-,-
"TracFone Nokia C100, 32GB, Blue - Prepaid Smartphone (Locked) Motorola Moto g Pure (2021), 32GB, Blue - Prepaid Smartphone (Locked)",-,-
"BlackBerry KEY2 LE 64GB - GSM Unlocked Android Smartphone, 13MP+5MP Dual Rear Camera, Android 8.1 Oreo BBE100-2 (U.S. Warranty) (Space Blue/Gray)",-,-
"UMIDIGI A11S Unlocked Cell Phone, 6.53"" FHD Full View Screen, 5150mAh Battery Android 11 Smartphone with Dual SIM (4G LTE)\xef\xbc\x8c4G+32G",-,-
Nokia G22 101S0609H001 Dual-Sim 64GB ROM + 4GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Meteor Grey) - International Version,-,-
"Unihertz Atom, The Smallest 4G Rugged Smartphone in The World, Android 9.0 Pie Unlocked Smart Phone with 4GB RAM and 64GB ROM (Support T-Mobile & Verizon only)",-,-
"Verizon Wireless - Motorola Moto E (2020) 32GB 6.2"" Max Vision Display - Prepaid Smartphone",-,-
"TracFone Samsung Galaxy A32 5G, 64GB, Black - Prepaid Smartphone (Locked)",$165.59,128
"LG Phoenix 4 Smartphone, 4G LTE, Android 7.1 OS, 16GB, Black for AT&T Prepaid",-,-
"Unihertz Titan Pocket, Small QWERTY Smartphone Android 11 Unlocked NFC Smart Phone (Support T-Mobile & Verizon only)",-,-
"Total by Verizon Samsung Galaxy A14 5G, 64GB, Black - Prepaid Smartphone (Locked)",$79.99,2
Motorola Moto G82 Dual SIM 128GB ROM + 6GB RAM (GSM only | No CDMA) Factory Unlocked 5G Smartphone (White Lily) - International Version,$240.68,9
"HTC One M8 Factory Unlocked Smartphone with 32 GB Memory, Nano-SIM support and 5.0-Inch Display US Warranty (Gunmetal Grey)",-,-
"Luqeeg Unlocked Android Smartphone - 5.0 Inch HD IPS Touch Screen, Ultra Thin Cell Phone with Quad Core Processor, 2GB RAM 32GB ROM, Face Recognition, 2200mAh Ultra Long Standby",$50.89,1
"Nokia 6.1 (2018) - Android one - 32 GB Factory Unlocked Smartphone (AT&T, T-Mobile, Metro, Straight Talk, Mint Etc) - 5.5"" Screen - Black - (International Model)",-,-
"Smartphone Case, Felt Smartphone Sleeve, Handmade Floral Felt Case, Handwork Smartphone Case with Decor, Protective Felt Sleeve for smartphone, gift for woman",$28.00,-
"NUU A10L | Unlocked 4G LTE Smartphone | 5.5"" Display | 16GB + 2GB RAM | 2500 mAh Battery | Android 12 Go Edition | Compatible with T-Mobile AT&T",-,-
"UMIDIGI A11S Unlocked Cell Phone, 6.53"" FHD Full View Screen, 5150mAh Battery Android 11 Smartphone with Dual SIM (4G LTE)\xef\xbc\x8c4G+32G",-,-
SOYES XS11 3G Mini Smartphone 2.5Inch WiFi GPS China Mobile RAM 1GB ROM 8GB Quad Core Android Cell Phones 3D Glass Slim Body HD Camera Dual Sim Google Play Cute Smartphone (Black),-,-
