Model,Price,Rating,RAM,ROM,Brand,Website,Rating
"Infinix HOT 20 Play (Luna Blue, 64 GB)","8,199",4.3,4 GB RAM , 64 GB ROM ,Infinix,PhoneArena,505 Ratings
"MOTOROLA e40 (Carbon Gray, 64 GB)","7,999",4.1,4 GB RAM , 64 GB ROM ,MOTOROLA,PhoneArena,"56,085 Ratings"
"POCO C31 (Shadow Gray, 64 GB)","7,499",4.3,4 GB RAM , 64 GB ROM ,POCO,PhoneArena,"1,83,688 Ratings"
"REDMI 9i Sport (Coral Green, 64 GB)","7,199",4.3,4 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"2,09,377 Ratings"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","14,999",4.3,6 GB RAM , 128 GB ROM ,SAMSUNG,PhoneArena,"1,37,778 Ratings"
"POCO M4 Pro 5G (Cool Blue, 64 GB)","11,999",4.3,4 GB RAM , 64 GB ROM ,POCO,PhoneArena,"33,258 Ratings"
"MOTOROLA e40 (Pink Clay, 64 GB)","7,999",4.1,4 GB RAM , 64 GB ROM ,MOTOROLA,PhoneArena,"56,085 Ratings"
"realme 9 5G (Stargaze White, 128 GB)","16,499",4.4,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"44,415 Ratings"
"realme 9 5G (Supersonic Blue, 64 GB)","14,999",4.5,4 GB RAM , 64 GB ROM ,realme,PhoneArena,"36,109 Ratings"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","14,999",4.1,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"8,567 Ratings"
"REDMI 9i Sport (Carbon Black, 64 GB)","7,199",4.3,4 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"2,09,377 Ratings"
"POCO M4 Pro 5G (Cool Blue, 128 GB)","13,999",4.2,6 GB RAM , 128 GB ROM ,POCO,PhoneArena,"41,124 Ratings"
"MOTOROLA g52 (Metallic White, 128 GB)","12,999",4.2,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"20,882 Ratings"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","13,999",4.2,4 GB RAM , 128 GB ROM ,SAMSUNG,PhoneArena,"32,083 Ratings"
"realme 9 5G (Supersonic Blue, 128 GB)","16,499",4.4,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"44,415 Ratings"
"realme 9 5G (Meteor Black, 128 GB)","16,499",4.4,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"44,415 Ratings"
"realme 9 5G (Meteor Black, 64 GB)","14,999",4.5,4 GB RAM , 64 GB ROM ,realme,PhoneArena,"36,109 Ratings"
"realme 9 5G (Stargaze White, 64 GB)","14,999",4.5,4 GB RAM , 64 GB ROM ,realme,PhoneArena,"36,109 Ratings"
"APPLE iPhone 14 (Starlight, 128 GB)","73,990",4.6,,128 GB ROM,APPLE,PhoneArena,981 Ratings
"MOTOROLA g52 (Charcoal Grey, 128 GB)","12,999",4.2,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"20,882 Ratings"
"APPLE iPhone 14 (Midnight, 128 GB)","73,990",4.6,,128 GB ROM,APPLE,PhoneArena,981 Ratings
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","14,999",4.3,6 GB RAM , 128 GB ROM ,SAMSUNG,PhoneArena,"1,37,778 Ratings"
"MOTOROLA G32 (Satin Silver, 64 GB)","9,999",4.2,4 GB RAM , 64 GB ROM,MOTOROLA,PhoneArena,"16,249 Ratings"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","14,999",4.1,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"8,567 Ratings"
"Infinix HOT 20 Play (Luna Blue, 64 GB)","8,199",4.3,4 GB RAM , 64 GB ROM ,Infinix,PhoneArena,505 Ratings
"MOTOROLA e40 (Carbon Gray, 64 GB)","7,999",4.1,4 GB RAM , 64 GB ROM ,MOTOROLA,PhoneArena,"56,085 Ratings"
"POCO C31 (Shadow Gray, 64 GB)","7,499",4.3,4 GB RAM , 64 GB ROM ,POCO,PhoneArena,"1,83,688 Ratings"
"REDMI 9i Sport (Coral Green, 64 GB)","7,199",4.3,4 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"2,09,377 Ratings"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","14,999",4.3,6 GB RAM , 128 GB ROM ,SAMSUNG,PhoneArena,"1,37,778 Ratings"
"POCO M4 Pro 5G (Cool Blue, 64 GB)","11,999",4.3,4 GB RAM , 64 GB ROM ,POCO,PhoneArena,"33,258 Ratings"
"MOTOROLA e40 (Pink Clay, 64 GB)","7,999",4.1,4 GB RAM , 64 GB ROM ,MOTOROLA,PhoneArena,"56,085 Ratings"
"realme 9 5G (Stargaze White, 128 GB)","16,499",4.4,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"44,415 Ratings"
"realme 9 5G (Supersonic Blue, 64 GB)","14,999",4.5,4 GB RAM , 64 GB ROM ,realme,PhoneArena,"36,109 Ratings"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","14,999",4.1,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"8,567 Ratings"
"REDMI 9i Sport (Carbon Black, 64 GB)","7,199",4.3,4 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"2,09,377 Ratings"
"POCO M4 Pro 5G (Cool Blue, 128 GB)","13,999",4.2,6 GB RAM , 128 GB ROM ,POCO,PhoneArena,"41,124 Ratings"
